workload,N,n_warps,div_ratio,param,warp_cycles,active_lane_cycles,utilization,cycles_per_warp,cycles_per_thread,mem_lane_ops,memops_per_cycle,divergent_branches,reconverges
branch_div,48,2,0.00,0,14,336,0.750000,7.000000,0.29166667,144,10.285714,0,0
branch_div,48,2,0.10,0,18,330,0.572917,9.000000,0.37500000,144,8.000000,2,2
branch_div,48,2,0.25,0,18,320,0.555556,9.000000,0.37500000,144,8.000000,2,2
branch_div,48,2,0.50,0,16,320,0.625000,8.000000,0.33333333,144,9.000000,1,1
branch_div,48,2,0.75,0,16,312,0.609375,8.000000,0.33333333,144,9.000000,1,1
branch_div,48,2,0.90,0,16,307,0.599609,8.000000,0.33333333,144,9.000000,1,1
branch_div,48,2,1.00,0,14,336,0.750000,7.000000,0.29166667,144,10.285714,0,0
branch_div,64,2,0.00,0,14,448,1.000000,7.000000,0.21875000,192,13.714286,0,0
branch_div,64,2,0.10,0,18,442,0.767361,9.000000,0.28125000,192,10.666667,2,2
branch_div,64,2,0.25,0,18,432,0.750000,9.000000,0.28125000,192,10.666667,2,2
branch_div,64,2,0.50,0,18,416,0.722222,9.000000,0.28125000,192,10.666667,2,2
branch_div,64,2,0.75,0,18,400,0.694444,9.000000,0.28125000,192,10.666667,2,2
branch_div,64,2,0.90,0,18,390,0.677083,9.000000,0.28125000,192,10.666667,2,2
branch_div,64,2,1.00,0,14,448,1.000000,7.000000,0.21875000,192,13.714286,0,0
branch_div,96,3,0.00,0,21,672,1.000000,7.000000,0.21875000,288,13.714286,0,0
branch_div,96,3,0.10,0,27,663,0.767361,9.000000,0.28125000,288,10.666667,3,3
branch_div,96,3,0.25,0,27,648,0.750000,9.000000,0.28125000,288,10.666667,3,3
branch_div,96,3,0.50,0,27,624,0.722222,9.000000,0.28125000,288,10.666667,3,3
branch_div,96,3,0.75,0,27,600,0.694444,9.000000,0.28125000,288,10.666667,3,3
branch_div,96,3,0.90,0,27,585,0.677083,9.000000,0.28125000,288,10.666667,3,3
branch_div,96,3,1.00,0,21,672,1.000000,7.000000,0.21875000,288,13.714286,0,0
branch_div,128,4,0.00,0,28,896,1.000000,7.000000,0.21875000,384,13.714286,0,0
branch_div,128,4,0.10,0,36,884,0.767361,9.000000,0.28125000,384,10.666667,4,4
branch_div,128,4,0.25,0,36,864,0.750000,9.000000,0.28125000,384,10.666667,4,4
branch_div,128,4,0.50,0,36,832,0.722222,9.000000,0.28125000,384,10.666667,4,4
branch_div,128,4,0.75,0,36,800,0.694444,9.000000,0.28125000,384,10.666667,4,4
branch_div,128,4,0.90,0,36,780,0.677083,9.000000,0.28125000,384,10.666667,4,4
branch_div,128,4,1.00,0,28,896,1.000000,7.000000,0.21875000,384,13.714286,0,0
branch_div,256,8,0.00,0,56,1792,1.000000,7.000000,0.21875000,768,13.714286,0,0
branch_div,256,8,0.10,0,72,1768,0.767361,9.000000,0.28125000,768,10.666667,8,8
branch_div,256,8,0.25,0,72,1728,0.750000,9.000000,0.28125000,768,10.666667,8,8
branch_div,256,8,0.50,0,72,1664,0.722222,9.000000,0.28125000,768,10.666667,8,8
branch_div,256,8,0.75,0,72,1600,0.694444,9.000000,0.28125000,768,10.666667,8,8
branch_div,256,8,0.90,0,72,1560,0.677083,9.000000,0.28125000,768,10.666667,8,8
branch_div,256,8,1.00,0,56,1792,1.000000,7.000000,0.21875000,768,13.714286,0,0
branch_div,512,16,0.00,0,112,3584,1.000000,7.000000,0.21875000,1536,13.714286,0,0
branch_div,512,16,0.10,0,144,3536,0.767361,9.000000,0.28125000,1536,10.666667,16,16
branch_div,512,16,0.25,0,144,3456,0.750000,9.000000,0.28125000,1536,10.666667,16,16
branch_div,512,16,0.50,0,144,3328,0.722222,9.000000,0.28125000,1536,10.666667,16,16
branch_div,512,16,0.75,0,144,3200,0.694444,9.000000,0.28125000,1536,10.666667,16,16
branch_div,512,16,0.90,0,144,3120,0.677083,9.000000,0.28125000,1536,10.666667,16,16
branch_div,512,16,1.00,0,112,3584,1.000000,7.000000,0.21875000,1536,13.714286,0,0
nested_div,48,2,-1.00,0,27,456,0.527778,13.500000,0.56250000,192,7.111111,2,2
nested_div,64,2,-1.00,0,36,624,0.541667,18.000000,0.56250000,256,7.111111,4,4
nested_div,96,3,-1.00,0,54,936,0.541667,18.000000,0.56250000,384,7.111111,6,6
nested_div,128,4,-1.00,0,72,1248,0.541667,18.000000,0.56250000,512,7.111111,8,8
nested_div,256,8,-1.00,0,144,2496,0.541667,18.000000,0.56250000,1024,7.111111,16,16
nested_div,512,16,-1.00,0,288,4992,0.541667,18.000000,0.56250000,2048,7.111111,32,32
compute_heavy,48,2,-1.00,10,28,672,0.750000,14.000000,0.58333333,144,5.142857,0,0
compute_heavy,48,2,-1.00,50,108,2592,0.750000,54.000000,2.25000000,144,1.333333,0,0
compute_heavy,48,2,-1.00,200,408,9792,0.750000,204.000000,8.50000000,144,0.352941,0,0
compute_heavy,48,2,-1.00,500,1008,24192,0.750000,504.000000,21.00000000,144,0.142857,0,0
compute_heavy,64,2,-1.00,10,28,896,1.000000,14.000000,0.43750000,192,6.857143,0,0
compute_heavy,64,2,-1.00,50,108,3456,1.000000,54.000000,1.68750000,192,1.777778,0,0
compute_heavy,64,2,-1.00,200,408,13056,1.000000,204.000000,6.37500000,192,0.470588,0,0
compute_heavy,64,2,-1.00,500,1008,32256,1.000000,504.000000,15.75000000,192,0.190476,0,0
compute_heavy,96,3,-1.00,10,42,1344,1.000000,14.000000,0.43750000,288,6.857143,0,0
compute_heavy,96,3,-1.00,50,162,5184,1.000000,54.000000,1.68750000,288,1.777778,0,0
compute_heavy,96,3,-1.00,200,612,19584,1.000000,204.000000,6.37500000,288,0.470588,0,0
compute_heavy,96,3,-1.00,500,1512,48384,1.000000,504.000000,15.75000000,288,0.190476,0,0
compute_heavy,128,4,-1.00,10,56,1792,1.000000,14.000000,0.43750000,384,6.857143,0,0
compute_heavy,128,4,-1.00,50,216,6912,1.000000,54.000000,1.68750000,384,1.777778,0,0
compute_heavy,128,4,-1.00,200,816,26112,1.000000,204.000000,6.37500000,384,0.470588,0,0
compute_heavy,128,4,-1.00,500,2016,64512,1.000000,504.000000,15.75000000,384,0.190476,0,0
compute_heavy,256,8,-1.00,10,112,3584,1.000000,14.000000,0.43750000,768,6.857143,0,0
compute_heavy,256,8,-1.00,50,432,13824,1.000000,54.000000,1.68750000,768,1.777778,0,0
compute_heavy,256,8,-1.00,200,1632,52224,1.000000,204.000000,6.37500000,768,0.470588,0,0
compute_heavy,256,8,-1.00,500,4032,129024,1.000000,504.000000,15.75000000,768,0.190476,0,0
compute_heavy,512,16,-1.00,10,224,7168,1.000000,14.000000,0.43750000,1536,6.857143,0,0
compute_heavy,512,16,-1.00,50,864,27648,1.000000,54.000000,1.68750000,1536,1.777778,0,0
compute_heavy,512,16,-1.00,200,3264,104448,1.000000,204.000000,6.37500000,1536,0.470588,0,0
compute_heavy,512,16,-1.00,500,8064,258048,1.000000,504.000000,15.75000000,1536,0.190476,0,0
memory_heavy,48,2,-1.00,5,22,528,0.750000,11.000000,0.45833333,480,21.818182,0,0
memory_heavy,48,2,-1.00,20,82,1968,0.750000,41.000000,1.70833333,1920,23.414634,0,0
memory_heavy,48,2,-1.00,50,202,4848,0.750000,101.000000,4.20833333,4800,23.762376,0,0
memory_heavy,48,2,-1.00,100,402,9648,0.750000,201.000000,8.37500000,9600,23.880597,0,0
memory_heavy,48,2,-1.00,200,802,19248,0.750000,401.000000,16.70833333,19200,23.940150,0,0
memory_heavy,64,2,-1.00,5,22,704,1.000000,11.000000,0.34375000,640,29.090909,0,0
memory_heavy,64,2,-1.00,20,82,2624,1.000000,41.000000,1.28125000,2560,31.219512,0,0
memory_heavy,64,2,-1.00,50,202,6464,1.000000,101.000000,3.15625000,6400,31.683168,0,0
memory_heavy,64,2,-1.00,100,402,12864,1.000000,201.000000,6.28125000,12800,31.840796,0,0
memory_heavy,64,2,-1.00,200,802,25664,1.000000,401.000000,12.53125000,25600,31.920200,0,0
memory_heavy,96,3,-1.00,5,33,1056,1.000000,11.000000,0.34375000,960,29.090909,0,0
memory_heavy,96,3,-1.00,20,123,3936,1.000000,41.000000,1.28125000,3840,31.219512,0,0
memory_heavy,96,3,-1.00,50,303,9696,1.000000,101.000000,3.15625000,9600,31.683168,0,0
memory_heavy,96,3,-1.00,100,603,19296,1.000000,201.000000,6.28125000,19200,31.840796,0,0
memory_heavy,96,3,-1.00,200,1203,38496,1.000000,401.000000,12.53125000,38400,31.920200,0,0
memory_heavy,128,4,-1.00,5,44,1408,1.000000,11.000000,0.34375000,1280,29.090909,0,0
memory_heavy,128,4,-1.00,20,164,5248,1.000000,41.000000,1.28125000,5120,31.219512,0,0
memory_heavy,128,4,-1.00,50,404,12928,1.000000,101.000000,3.15625000,12800,31.683168,0,0
memory_heavy,128,4,-1.00,100,804,25728,1.000000,201.000000,6.28125000,25600,31.840796,0,0
memory_heavy,128,4,-1.00,200,1604,51328,1.000000,401.000000,12.53125000,51200,31.920200,0,0
memory_heavy,256,8,-1.00,5,88,2816,1.000000,11.000000,0.34375000,2560,29.090909,0,0
memory_heavy,256,8,-1.00,20,328,10496,1.000000,41.000000,1.28125000,10240,31.219512,0,0
memory_heavy,256,8,-1.00,50,808,25856,1.000000,101.000000,3.15625000,25600,31.683168,0,0
memory_heavy,256,8,-1.00,100,1608,51456,1.000000,201.000000,6.28125000,51200,31.840796,0,0
memory_heavy,256,8,-1.00,200,3208,102656,1.000000,401.000000,12.53125000,102400,31.920200,0,0
memory_heavy,512,16,-1.00,5,176,5632,1.000000,11.000000,0.34375000,5120,29.090909,0,0
memory_heavy,512,16,-1.00,20,656,20992,1.000000,41.000000,1.28125000,20480,31.219512,0,0
memory_heavy,512,16,-1.00,50,1616,51712,1.000000,101.000000,3.15625000,51200,31.683168,0,0
memory_heavy,512,16,-1.00,100,3216,102912,1.000000,201.000000,6.28125000,102400,31.840796,0,0
memory_heavy,512,16,-1.00,200,6416,205312,1.000000,401.000000,12.53125000,204800,31.920200,0,0
